"CellLine","HRD_score","OLAPARIB","TALAZOPARIB","NIRAPARIB","RUCAPARIB"
"ACH-000017",0.289579612456512,NA,NA,NA,NA
"ACH-000019",0.308480212623453,-0.797928694502,-0.0235784499507,0.148739241568,0.306763795542
"ACH-000028",0.285561432697294,NA,NA,NA,NA
"ACH-000044",-0.261637438704735,NA,NA,NA,NA
"ACH-000097",0.241551764003973,-0.187433106548,-0.887602018076,-0.294293756465,-0.25689542228
"ACH-000111",0.662714521229803,NA,NA,NA,NA
"ACH-000117",0.254499047144351,0.400779705848,0.511160019576,0.407931401494,0.362635078992
"ACH-000147",0.121483936664067,-0.169727089871,-1.3196136835,-0.0847903586365,0.482255109819
"ACH-000148",0.677248270402586,NA,NA,NA,NA
"ACH-000196",0.533684146474459,NA,NA,NA,NA
"ACH-000212",0.576000071501748,-0.170583520766,0.568778353611,0.0766303967597,-0.676281568024
"ACH-000223",0.554143763911801,0.877092918093,0.806382307723,0.688014106612,-0.10740485949
"ACH-000248",0.287593800709051,NA,NA,NA,NA
"ACH-000258",0.263115660135618,NA,NA,NA,NA
"ACH-000276",0.837489465613689,0.241112466756,-0.645882796663,-1.02185256539,NA
"ACH-000277",-0.0335979293082316,1.18806787269,0.305948904673,0.656046946795,0.351747390273
"ACH-000288",0.723114078924598,0.348174691304,-2.08153415975,-0.0540216098473,-0.46669864347
"ACH-000330",0.324444378647948,-0.306831772183,-1.94078373304,-0.498919120561,0.360583224335
"ACH-000349",0.216443816259074,NA,NA,NA,NA
"ACH-000352",0.451386901032865,0.245062827223,-0.568229674941,-0.178630956348,-0.312602911317
"ACH-000374",0.768940648837688,0.249490929458,-1.12282985223,-0.463953902426,-1.32330100499
"ACH-000536",0.512059691244629,NA,NA,NA,NA
"ACH-000554",0.251811725772238,NA,NA,NA,NA
"ACH-000568",-0.0997120611990837,NA,NA,NA,NA
"ACH-000573",0.797483164496126,-1.66068629864,-1.74145981001,-0.53531909409,-1.72227639302
"ACH-000621",0.672881662788517,NA,NA,NA,NA
"ACH-000624",0.568147863898584,0.0326831616267,-1.04938349659,-0.399757050929,-0.639400803442
"ACH-000642",0.454302650973028,NA,NA,NA,NA
"ACH-000643",0.562507361391736,0.664378368233,-0.0858803922266,0.602260150212,0.343358430075
"ACH-000668",0.552555527013726,NA,NA,NA,NA
"ACH-000691",0.509773992115845,NA,NA,NA,NA
"ACH-000699",0.831672479394302,-0.306208979277,-1.59402780794,0.0327451268333,-0.875911379147
"ACH-000711",0.531962062086751,0.35592579905,-1.79108807131,-0.135485237168,0.167152951538
"ACH-000721",0.60861421275583,0.0681613603045,-1.38594928761,-0.209912068034,0.363161756559
"ACH-000725",0.106539845484058,NA,NA,NA,NA
"ACH-000755",-0.027589924822784,NA,NA,NA,NA
"ACH-000759",-0.0321751810891529,0.873646339674,0.415446724401,0.738991062174,0.400556105725
"ACH-000768",0.58555430676119,0.729447544919,0.165591337738,-0.0538596896552,-0.286675830845
"ACH-000783",0.13342198526534,0.386449032201,-1.31609189206,0.0792633267096,0.124611569373
"ACH-000818",-0.109449194812412,NA,NA,NA,NA
"ACH-000828",-0.0522190976388604,NA,NA,NA,NA
"ACH-000849",0.526324642664668,-1.33387076259,-0.697134503267,-1.11624693729,-0.460653946875
"ACH-000856",0.646956189070956,-0.36178579156,-1.15276199675,-1.20769316565,-0.0111829383043
"ACH-000857",0.653007948092734,NA,NA,NA,NA
"ACH-000859",0.424894120155432,0.383067930757,-0.404976961703,0.42291227312,0.361447005792
"ACH-000876",0.0478442162532484,NA,NA,NA,NA
"ACH-000902",0.117812652784098,NA,NA,NA,NA
"ACH-000910",0.0174674959808107,NA,NA,NA,NA
"ACH-000927",0.0388147697038136,0.428037268985,0.322178422931,0.503590102004,-1.11249269187
"ACH-000930",0.708066582978033,NA,NA,NA,NA
"ACH-000934",0.241799006482417,0.242293158489,-0.922902146757,-1.51643314599,-0.521196147573
"ACH-001388",0.155974464211147,NA,NA,NA,NA
"ACH-001389",0.725839903243924,NA,NA,NA,NA
"ACH-001390",0.712314463262507,NA,NA,NA,NA
"ACH-001391",0.710853003074161,NA,NA,NA,NA
"ACH-001392",-0.149360936792113,NA,NA,NA,NA
"ACH-001393",0.078690456348681,NA,NA,NA,NA
"ACH-001394",0.727373110351802,NA,NA,NA,NA
"ACH-001395",-0.234139066138307,NA,NA,NA,NA
"ACH-001396",0.0671734255675524,NA,NA,NA,NA
"ACH-001419",0.330964785340482,NA,NA,NA,NA
"ACH-001819",0.155040222349277,NA,NA,NA,NA
"ACH-001820",0.619354847278375,NA,NA,NA,NA
"ACH-002883",0.000365861269066102,NA,NA,NA,NA
"ACH-002884",0.112637747756997,NA,NA,NA,NA
"ACH-002885",-0.0042746011391408,NA,NA,NA,NA
"ACH-002950",0.814630978441529,NA,NA,NA,NA
"ACH-002951",0.451995306342218,NA,NA,NA,NA
